date,country,oecd_rec,yield_spread,gdp_yoy_growth,inflation_rate,unemp_change_yoy,ind_out_growth,cars_yoy_growth,epu,comp_consumer_conf,vix
1996/2/1,France,0,1.388,2.036427527,1.960784314,-0.2,2.33604659,75.55683298,59.1634,100.6782,12.8
1996/2/1,Germany,1,2.286086957,1.774007202,1.381919427,-0.1,0.729929437,-40.02465985,81.35252,99.91757,12.8
1996/2/1,USA,0,0.72,2.673325816,2.617447092,-0.3,4.602332949,100,66.76376,100.8834,12.8
1996/3/1,Canada,0,1.241,1.829496186,2.211866708,-0.9,1.859194152,-50.19782542,135.6433,98.17539472,12.06
1996/3/1,France,0,1.3865,2.036427527,2.008627662,0,2.838706041,100,122.84263,99.90529,12.06
1996/3/1,Germany,0,2.395238095,1.774007202,1.637283848,-0.1,1.294965425,82.19243608,86.26076,99.77113,12.06
1996/3/1,USA,0,0.47,2.673325816,2.543506662,-0.3,4.69498138,100,75.22518,100.6454,12.06
1996/4/1,Canada,0,1.023333333,1.503113455,2.33372987,-0.7,2.150341016,-100,241.13225,97.49195782,14.36
1996/4/1,France,0,0.6212,1.084982507,1.89669088,0,-0.095846985,-100,133.46191,99.21215,14.36
1996/4/1,Germany,0,2.475238095,0.59298414,1.513234346,0.1,-3.107346413,100,75.7968,99.58101,14.36
1996/4/1,USA,0,0.25,2.19979163,2.809356701,-0.3,3.678486234,-100,80.62605,100.4881,14.36
1996/5/1,Canada,0,1.465714286,1.503113455,2.088159116,-0.5,1.211750646,10.58876768,240.9738,97.18967564,12.47
1996/5/1,France,0,1.1496,1.084982507,1.963685272,0.2,-0.929536427,100,93.48212,98.78609,12.47
1996/5/1,Germany,0,2.331818182,0.59298414,1.385386756,0.1,-3.08988944,100,74.94923,99.2985,12.47
1996/5/1,USA,0,0.19,2.19979163,2.605207756,0,3.23851762,100,90.53283,100.41,12.47
1996/6/1,Canada,0,1.354210526,1.503113455,1.738113769,-0.2,-0.816243891,78.57344234,191.77512,97.40653077,11.75
1996/6/1,France,0,1.1475,1.084982507,2.085295305,0.3,1.268758659,31.3031006,128.4617,98.63933,11.75
1996/6/1,Germany,0,2.134736842,0.59298414,1.507544794,0.3,-3.08988944,-100,58.76147,98.90688,11.75
1996/6/1,USA,0,0.09,2.19979163,2.538409181,0.1,2.566583395,-100,84.34724,100.4341,11.75
1996/7/1,Canada,0,1.545,0.724940938,1.616618758,-0.2,-0.906656816,-48.73652884,212.95315,98.01407277,13.47
1996/7/1,France,0,1.7704,1.510833196,1.945786366,0.5,-0.461507362,-100,51.32093,98.82383,13.47
1996/7/1,Germany,0,2.277272727,0.127525375,1.376717258,0.3,-0.716334759,-100,76.96334,98.49263,13.47
1996/7/1,USA,0,0.26,2.601309847,2.727887598,0,1.838496457,52.00630522,90.66317,100.4504,13.47
1996/8/1,Canada,0,2.017619047,0.724940938,1.264357315,-0.1,-0.944036986,-100,107.99321,98.40056302,15.03
1996/8/1,France,0,2.1904,1.510833196,2.02006689,0.5,0.52799576,100,98.08697,99.05003,15.03
1996/8/1,Germany,0,2.854285714,0.127525375,1.494402947,0.5,-2.966100211,-100,123.00718,98.27199,15.03
1996/8/1,USA,0,0.66,2.601309847,2.650773596,0.1,3.439348415,100,75.83463,100.5219,15.03
1996/9/1,Canada,0,2.407142857,0.724940938,1.490815934,-0.1,-0.862704376,100,202.92086,98.51489066,17.76
1996/9/1,France,0,2.3791,1.510833196,2.360629501,0.5,0.408456028,-23.16701893,73.19598,99.16239,17.76
1996/9/1,Germany,0,3.085238095,0.127525375,1.494402947,0.5,-1.714268879,-100,136.39913,98.2751,17.76
