date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix
1921-07-01,Canada,,7.663945,,,,,,,,,
1921-07-01,USA,,,,,,,,3.811234,,,
1921-08-01,Canada,,7.663945,,,,,,,,,
1921-08-01,USA,,,,,,,,3.94446,,,
1921-09-01,Canada,,7.663945,,,,,,,,,
1921-09-01,USA,,,,,,,,3.971125,,,
1921-10-01,Canada,,7.663945,,,,,,,,,
1921-10-01,USA,,,,,,,,4.211012,,,
1921-11-01,Canada,,7.426916,,,,,,,,,
1921-11-01,USA,,,,,,,,4.157682,,,
1921-12-01,Canada,,7.426916,,,,,,,,,
1921-12-01,USA,,,,,,,,4.131017,,,
1922-01-01,Canada,,7.426916,,,,,,,,,
1922-01-01,USA,,,,,,,,4.291008,,,
1922-02-01,Canada,,7.347906,,,,,,,,,
1922-02-01,USA,,,,,,,,4.477565,,,
1922-03-01,Canada,,7.268897,,,,,,,,,
1922-03-01,USA,,,,,,,,4.717353,,,
1922-04-01,Canada,,7.268897,,,,,,,,,
1922-04-01,USA,,,,,,,,4.557461,,,
1922-05-01,Canada,,7.189887,,,,,,,,,
1922-05-01,USA,,,,,,,,4.797348,,,
1922-06-01,Canada,,7.189887,,,,,,,,,
1922-06-01,USA,,,,,,,,5.037236,,,
1922-07-01,Canada,,7.189887,,,,,,,,,
1922-07-01,USA,,,,,,,,5.037236,,,
1922-08-01,Canada,,7.268897,,,,,,,,,
1922-08-01,USA,,,,,,,,4.930575,,,
1922-09-01,Canada,,7.268897,,,,,,,,,
1922-09-01,USA,,,,,,,,5.197128,,,
1922-10-01,Canada,,7.268897,,,,,,,,,
1922-10-01,USA,,,,,,,,5.490345,,,
1922-11-01,Canada,,7.268897,,,,,,,,,
1922-11-01,USA,,,,,,,,5.730133,,,
1922-12-01,Canada,,7.268897,,,,,,,,,
1922-12-01,USA,,,,,,,,5.890124,,,
1923-01-01,Canada,,7.268897,,,,,,,,,
1923-01-01,USA,,,,,,,,5.756798,,,
1923-02-01,Canada,,7.268897,,,,,,,,,
1923-02-01,USA,,,,,,,,5.836794,,,
1923-03-01,Canada,,7.347906,,,,,,,,,
1923-03-01,USA,,,,,,,,6.023351,,,
1923-04-01,Canada,,7.268897,,,,,,,,,
1923-04-01,USA,,,,,,,,6.156578,,,
1923-05-01,Canada,,7.268897,,,,,,,,,
1923-05-01,USA,,,,,,,,6.236573,,,
1923-06-01,Canada,,7.268897,,,,,,,,,
1923-06-01,USA,,,,,,,,6.183243,,,
1923-07-01,Canada,,7.189887,,,,,,,,,
1923-07-01,USA,,,,,,,,6.129912,,,
1923-08-01,Canada,,7.268897,,,,,,,,,
1923-08-01,USA,,,,,,,,6.023351,,,
1923-09-01,Canada,,7.268897,,,,,,,,,
1923-09-01,USA,,,,,,,,5.890124,,,
1923-10-01,Canada,,7.268897,,,,,,,,,
1923-10-01,USA,,,,,,,,5.863459,,,
1923-11-01,Canada,,7.268897,,,,,,,,,
1923-11-01,USA,,,,,,,,5.863459,,,
1923-12-01,Canada,,7.268897,,,,,,,,,
1923-12-01,USA,,,,,,,,5.730133,,,
1924-01-01,Canada,,7.268897,,,,,,,,,
1924-01-01,USA,,,,,,,,5.863459,,,
1924-02-01,Canada,,7.268897,,,,,,,,,
1924-02-01,USA,,,,,,,,5.970021,,,
1924-03-01,Canada,,7.268897,,,,,,,,,
1924-03-01,USA,,,,,,,,5.863459,,,
1924-04-01,Canada,,7.110877,,,,,,,,,
1924-04-01,USA,,,,,,,,5.676902,,,
1924-05-01,Canada,,7.031867,,,,,,,,,
1924-05-01,USA,,,,,,,,5.437015,,,
1924-06-01,Canada,,6.952857000000001,,,,,,,,,
1924-06-01,USA,,,,,,,,5.197128,,,
1924-07-01,Canada,,6.952857000000001,,,,,,,,,
1924-07-01,USA,,,,,,,,5.117132,,,
1924-08-01,Canada,,7.110877,,,,,,,,,
1924-08-01,USA,,,,,,,,5.303788,,,
1924-09-01,Canada,,7.110877,,,,,,,,,
1924-09-01,USA,,,,,,,,5.490345,,,
1924-10-01,Canada,,7.110877,,,,,,,,,
1924-10-01,USA,,,,,,,,5.623572,,,
1924-11-01,Canada,,7.189887,,,,,,,,,
1924-11-01,USA,,,,,,,,5.730133,,,
1924-12-01,Canada,,7.189887,,,,,,,,,
1924-12-01,USA,,,,,,,,5.890124,,,
1925-01-01,Canada,,7.268897,,,,,,,,,
1925-01-01,USA,,,,,,,,6.076681,,,
1925-02-01,Canada,,7.268897,,,,,,,,,
1925-02-01,USA,,,,,,,,6.076681,,,
1925-03-01,Canada,,7.268897,,,,,,,,,
1925-03-01,USA,,,,,,,,6.076681,,,
1925-04-01,Canada,,7.189887,,,,,,,,,
1925-04-01,USA,,,,,,,,6.129912,,,
1925-05-01,Canada,,7.110877,,,,,,,,,
1925-05-01,USA,,,,,,,,6.103346,,,
1925-06-01,Canada,,7.110877,,,,,,,,,
1925-06-01,USA,,,,,,,,6.050016,,,
1925-07-01,Canada,,7.110877,,,,,,,,,
1925-07-01,USA,,,,,,,,6.209908,,,
1925-08-01,Canada,,7.189887,,,,,,,,,
1925-08-01,USA,,,,,,,,6.103346,,,
1925-09-01,Canada,,7.189887,,,,,,,,,
1925-09-01,USA,,,,,,,,6.023351,,,
1925-10-01,Canada,,7.268897,,,,,,,,,
1925-10-01,USA,,,,,,,,6.263238,,,
1925-11-01,Canada,,7.268897,,,,,,,,,
1925-11-01,USA,,,,,,,,6.396465,,,
1925-12-01,Canada,,7.347906,,,,,,,,,
1925-12-01,USA,,,,,,,,6.47646,,,
1926-01-01,Canada,,7.268897,,,,,,,,,
1926-01-01,USA,,,,,,,,6.3698,,,
1926-02-01,Canada,,7.268897,,,,,,,,,
1926-02-01,USA,,,,,,,,6.3698,,,
1926-03-01,Canada,,7.268897,,,,,,,,,
1926-03-01,USA,,,,,,,,6.449795,,,
1926-04-01,Canada,,7.268897,,,,,,,,,
1926-04-01,USA,,,,,,,,6.449795,,,
1926-05-01,Canada,,7.268897,,,,,,,,,
1926-05-01,USA,,,,,,,,6.396465,,,
1926-06-01,Canada,,7.268897,,,,,,,,,
1926-06-01,USA,,,,,,,,6.47646,,,
1926-07-01,Canada,,7.268897,,,,,,,,,
1926-07-01,USA,,,,,,,,6.503125,,,
1926-08-01,Canada,,7.268897,,,,,,,,,
1926-08-01,USA,,,,,,,,6.583022,,,
1926-09-01,Canada,,7.268897,,,,,,,,,
1926-09-01,USA,,,,,,,,6.689682,,,
1926-10-01,Canada,,7.268897,,,,,,,,,
1926-10-01,USA,,,,,,,,6.689682,,,
1926-11-01,Canada,,7.268897,,,,,,,,,
1926-11-01,USA,,,,,,,,6.663017,,,
1926-12-01,Canada,,7.268897,,,,,,,,,
1926-12-01,USA,,,,,,,,6.636352,,,
1927-01-01,Canada,,7.268897,,,,,,,,,
1927-01-01,USA,,,,,,,,6.609687,,,
1927-02-01,Canada,,7.268897,,,,,,,,,
1927-02-01,USA,,,,,,,,6.663017,,,
1927-03-01,Canada,,7.189887,,,,,,,,,
1927-03-01,USA,,,,,,,,6.742913,,,
1927-04-01,Canada,,7.110877,,,,,,,,,
1927-04-01,USA,,,,,,,,6.583022,,,
1927-05-01,Canada,,7.110877,,,,,,,,,
1927-05-01,USA,,,,,,,,6.636352,,,
1927-06-01,Canada,,7.110877,,,,,,,,,
1927-06-01,USA,,,,,,,,6.609687,,,
1927-07-01,Canada,,7.189887,,,,,,,,,
1927-07-01,USA,,,,,,,,6.529691,,,
1927-08-01,Canada,,7.110877,,,,,,,,,
1927-08-01,USA,,,,,,,,6.529691,,,
1927-09-01,Canada,,7.110877,,,,,,,,,
1927-09-01,USA,,,,,,,,6.42313,,,
1927-10-01,Canada,,7.110877,,,,,,,,,
1927-10-01,USA,,,,,,,,6.289903,,,
1927-11-01,Canada,,7.189887,,,,,,,,,
1927-11-01,USA,,,,,,,,6.289903,,,
1927-12-01,Canada,,7.189887,,,,,,,,,
1927-12-01,USA,,,,,,,,6.316568,,,
1928-01-01,Canada,,7.268897,,,,,,,,,
1928-01-01,USA,,,,,,,,6.449795,,,
1928-02-01,Canada,,7.268897,,,,,,,,,
1928-02-01,USA,,,,,,,,6.503125,,,
1928-03-01,Canada,,7.189887,,,,,,,,,
1928-03-01,USA,,,,,,,,6.556356,,,
1928-04-01,Canada,,7.189887,,,,,,,,,
1928-04-01,USA,,,,,,,,6.529691,,,
1928-05-01,Canada,,7.110877,,,,,,,,,
1928-05-01,USA,,,,,,,,6.609687,,,
1928-06-01,Canada,,7.110877,,,,,,,,,
1928-06-01,USA,,,,,,,,6.663017,,,
1928-07-01,Canada,,7.110877,,,,,,,,,
1928-07-01,USA,,,,,,,,6.742913,,,
1928-08-01,Canada,,7.268897,,,,,,,,,
1928-08-01,USA,,,,,,,,6.876239,,,
1928-09-01,Canada,,7.268897,,,,,,,,,
1928-09-01,USA,,,,,,,,6.929471,,,
1928-10-01,Canada,,7.268897,,,,,,,,,
1928-10-01,USA,,,,,,,,7.062796,,,
1928-11-01,Canada,,7.268897,,,,,,,,,
1928-11-01,USA,,,,,,,,7.196023,,,
1928-12-01,Canada,,7.268897,,,,,,,,,
1928-12-01,USA,,,,,,,,7.329249,,,
1929-01-01,Canada,,7.268897,,,,,,,,,
1929-01-01,USA,,,,,,,,7.43591,,,
1929-02-01,Canada,,7.268897,,,,,,,,,
