date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix,oil,copper,gps,cli,retail_vol,national_share_price,yield_curve,yield_curve_inverted,yield_curve_diff_1mo,yield_curve_diff_3mo,yield_curve_diff_6mo,pre_recession,country_Australia,country_Canada,country_France,country_Germany,country_Italy,country_Japan,country_South Korea,country_UK,country_USA
2001-12-01,UK,417085000000.0,74.9,5.2,127.88529,4.6271,3.99675,True,102.3697,101.9752,1.52244464253692,23.72,19.33,118.3,129.6,99.9506864219027,0.686813186813229,78.56064,0.6303500000000004,0,0.23326000000000002,0.6415299999999999,0.7636299999999996,0,False,False,False,False,False,False,False,True,False
2001-12-01,USA,14214516000000.0,74.84695,5.5,130.57563,4.65,2.03,True,87.6209,99.74929,-19.655072743039,23.72,19.33,118.3,129.6,98.1262241718318,7.59265625288452,57.73238,2.6200000000000006,0,0.3600000000000003,1.1300000000000008,1.2500000000000004,0,False,False,False,False,False,False,False,False,True
2002-01-01,Australia,338710000000.0,70.02554,6.861371,104.72542341300239,5.81684210526316,4.25,False,68.97776,100.3522,7.98189719226328,22.25,19.67,119.9,129.4,100.72501332356,50530900000.0,62.3467,1.5668421052631603,0,0.3891148325358902,0.5385921052631604,0.6400921052631601,1,True,False,False,False,False,False,False,False,False
2002-01-01,Canada,393297750000.0,76.95549,8.1,119.71717,5.40842105263158,2.0,False,92.48635,99.7033776012482,1.81966745350322,22.25,19.67,119.9,129.4,99.0326669702849,2.6899495333808,53.4778,3.4084210526315797,0,0.38377819548871983,1.4382894736842098,1.9503258145363391,1,False,True,False,False,False,False,False,False,False
2002-01-01,France,465409800000.0,81.56,8.8,53.6544,4.87,3.34488888888889,True,108.7646,100.9002,5.1992072561457,22.25,19.67,119.9,129.4,99.0844263306267,1.35823429541597,79.00004,1.52511111111111,0,0.3407929292929297,0.5679611111111096,0.8286825396825397,0,False,False,True,False,False,False,False,False,False
2002-01-01,Germany,649323650000.0,82.19031,8.1,108.11981,4.73588235294118,3.34488888888889,True,80.41237,99.06922,-4.10276322505481,22.25,19.67,119.9,129.4,97.9784911352102,3.07125307125307,62.08489,1.3909934640522903,0,0.32894800950684067,0.5608434640522906,0.8445648926237204,0,False,False,False,True,False,False,False,False,False
2002-01-01,Italy,421286900000.0,77.719,8.8,117.27114,5.047,3.34488888888889,True,122.0214,102.5414,2.95512847786221,22.25,19.67,119.9,129.4,99.3199134245125,0.18248175182547,117.0126,1.7021111111111096,0,0.28779292929292977,0.48896111111110985,0.7566825396825396,0,False,False,False,False,True,False,False,False,False
2002-01-01,Japan,119969300000000.0,97.73479,5.4,114.02567815642979,1.334,0.052,True,94.07458,98.04391,6.89797485025347,22.25,19.67,119.9,129.4,98.4670393814593,1.53462326390166,64.67934,1.282,0,-0.009000000000000119,-0.03190000000000004,0.16290000000000004,0,False,False,False,False,False,True,False,False,False
2002-01-01,South Korea,242336200000000.0,69.5017530050574,3.7,111.50533294677734,7.01,4.84,False,50.61978,99.96693,-19.9514535146455,22.25,19.67,119.9,129.4,99.4949769955498,3.97923875432526,36.64587,2.17,0,-0.17999999999999972,0.6399999999999997,0.6800000000000006,1,False,False,False,False,False,False,True,False,False
2002-01-01,UK,418445000000.0,75.0,5.2,76.56446,4.8928,4.0506,True,102.475,102.1308,-5.9289772900223,22.25,19.67,119.9,129.4,99.9421358059416,1.09140518417452,78.72865,0.8422000000000001,0,0.21184999999999965,0.5840600000000009,0.90564,0,False,False,False,False,False,False,False,True,False
2002-01-01,USA,14253574000000.0,74.55161,5.7,117.23658,5.09,1.83,True,87.1102,99.89661,-11.4761961865928,22.25,19.67,119.9,129.4,98.2947234815018,-2.82100205158243,57.62083,3.26,0,0.6399999999999992,1.3999999999999995,1.7199999999999998,0,False,False,False,False,False,False,False,False,True
2002-02-01,Australia,338710000000.0,70.67564,6.913122,41.12508727492029,5.85833333333333,4.26,False,68.97776,100.7862,-2.91088035364279,22.88,20.74,121.5,129.7,100.819557538776,50530900000.0,62.78725,1.59833333333333,0,0.0314912280701698,0.5507246376811601,0.5519696969696897,1,True,False,False,False,False,False,False,False,False
2002-02-01,Canada,393297750000.0,77.11350999999999,8.0,122.81771,5.34363636363636,1.914,False,90.68423,99.998930661906,1.76421883956397,22.88,20.74,121.5,129.7,99.4748308846371,1.55269848435153,52.56352,3.4296363636363605,0,0.0212153110047808,0.9249090909090909,1.80916017316017,1,False,True,False,False,False,False,False,False,False
2002-02-01,France,465409800000.0,81.94,8.8,82.98913,4.93,3.33877272727273,True,109.4217,101.1148,0.239818220937131,22.88,20.74,121.5,129.7,99.1188853314282,2.84757118927983,76.41946,1.5912272727272696,0,0.06611616161615963,0.47109683794466006,0.9083636363636294,0,False,False,True,False,False,False,False,False,False
2002-02-01,Germany,649323650000.0,82.2836,8.1,95.47948,4.86272727272727,3.33877272727273,True,81.28222,98.91137,4.19082699699191,22.88,20.74,121.5,129.7,98.1127385101036,-1.66865315852206,59.86592,1.5239545454545396,0,0.13296108140224927,0.52425889328063,0.9751818181818099,0,False,False,False,True,False,False,False,False,False
2002-02-01,Italy,421286900000.0,78.0517,8.6,117.54278,5.142,3.33877272727273,True,123.8112,102.6703,-5.02048114230007,22.88,20.74,121.5,129.7,99.42333703294,0.364298724953938,113.6489,1.8032272727272702,0,0.10111616161616066,0.43909683794466003,0.85436363636363,0,False,False,False,False,True,False,False,False,False
2002-02-01,Japan,119969300000000.0,97.53118,5.2,114.51926191676004,1.42,0.0605,False,95.03127,98.22787,-2.44831824468623,22.88,20.74,121.5,129.7,98.4909861194124,-1.49589993339997,62.47022,1.3595,0,0.0774999999999999,0.03649999999999998,0.09860000000000002,0,False,False,False,False,False,True,False,False,False
2002-02-01,South Korea,242336200000000.0,69.900231127853,3.6,136.2150115966797,7.1,4.79,False,49.35468,100.4889,33.5065846546345,22.88,20.74,121.5,129.7,100.169762730692,0.166389351081553,38.24592,2.3099999999999996,0,0.13999999999999968,0.1299999999999999,0.7999999999999998,1,False,False,False,False,False,False,True,False,False
2002-02-01,UK,418445000000.0,74.8,5.1,56.76797,4.9171,4.04677,True,102.0537,102.4707,3.79516489008009,22.88,20.74,121.5,129.7,99.9833458918612,1.6194331983806,77.74014,0.8703299999999992,0,0.0281299999999991,0.4732399999999988,0.9209899999999989,0,False,False,False,False,False,False,False,True,False
2002-02-01,USA,14253574000000.0,74.72038,5.7,116.83745,5.04,1.74,True,87.06757,100.2531,3.58981305879116,22.88,20.74,121.5,129.7,98.5596504490434,-1.40971814041898,56.41106,3.3,0,0.040000000000000036,1.0399999999999996,1.7199999999999998,0,False,False,False,False,False,False,False,False,True
